num_eleve;nom;prenom;datenaissance;langue1;langue2;option;classe
1333310FE;ACHIR;MUSSA;01/01/2005;anglais;espagnol;;2A
156929JJ;ALTMEYER;YOHAN;05/05/2005;allemand;anglais;théâtre;2D
500633KH;BELEY;THIBAULT;05/05/2005;anglais;espagnol;;2A
911887GA;BELEY;MARIE;05/05/2005;anglais;espagnol;;2A
906089JJ;BELEY;MANON;10/01/2005;anglais;allemand;;2E
488697GA;CAILLE;MARIE;30/03/2004;italien;anglais;;2D
193514FB;CHARPENTIER;JULES;26/12/2005;espagnol;anglais;;2C
321188FA;CLAUDEL;BENJAMIN;09/09/2005;espagnol;anglais;;2E
081282GF;EISEN;CARLA;23/06/2004;anglais;allemand;;2A
026846KB;ELAYAR;AMIR;11/09/2005;anglais;arabe;cinéma;2D
108303KG;GEHIN;ARTHUR;26/02/2005;allemand;anglais;;2D
057634BK;GROSJEAN;ALEXANDRE;09/11/2005;anglais;espagnol;;2C
571113KE;HENRY;PAUL;12/03/2005;allemand;anglais;;2E
488820DE;JACQUEY;MARC;13/11/2005;anglais;italien;;2D
024810CE;JULIANO;ALBERTO;21/04/2005;anglais;espagnol;;2C
249992EJ;KLEIBER;GUSTI;20/02/2005;anglais;espagnol;cinéma;2E
492698AF;LACOUR;JULIE;06/04/2005;italien;anglais;;2D
026454FA;LARBI;NOURDINE;14/07/2005;espagnol;anglais;;2C
309341GD;LEFZA;YASMINA;26/11/2005;espagnol;anglais;;2E
076725HD;MARTIN;VICTOR;13/03/2005;anglais;espagnol;;2A
815183CB;NGUYEN;NGONG;16/03/2005;anglais;espagnol;;2D
094002FC;PELTIER;ROMANE;14/06/2005;allemand;anglais;;2D
321262HD;RENAULT;ZOE;06/08/2005;anglais;espagnol;latin;2E
075421AK;ROTH;URSULE;03/01/2005;anglais;allemand;;2A
121001CK;SERHANI;SABRINA;01/09/2005;italien;anglais;;2D
538965DJ;TUDJANE;YOURK;31/01/2005;espagnol;anglais;;2D
389873GC;VIALET;PRISCILLE;28/02/2005;espagnol;anglais;;2C
980306CA;WADE;MARCELIN;03/05/2005;allemand;anglais;;2E
807158DH;WENGER;ALEXANDRE;20/08/2005;allemand;anglais;;2A
666702FA;YAMAN;ELAMINE;23/04/2005;anglais;arabe;;2D
